NAME                                                 NAMESPACE          IP          NODE                  WAYPOINT                            PROTOCOL
bookinfo-productpage-istio-waypoint-5cdd6745d5-rc2gg bookinfo           10.244.2.59 ambient-worker2       None                                TCP
coredns-5dd5756b68-mgjn9                             kube-system        10.244.0.2  ambient-control-plane None                                TCP
coredns-5dd5756b68-nzlpw                             kube-system        10.244.0.3  ambient-control-plane None                                TCP
details-v1-698d88b-dqrbr                             bookinfo           10.244.2.51 ambient-worker2       namespace-istio-waypoint            HBONE
details-v1-698d88b-krdw7                             default            10.244.2.55 ambient-worker2       None                                HBONE
gateway-api-admission-server-85985d48ff-5jcvd        gateway-system     10.244.2.8  ambient-worker2       None                                TCP
httpbin-65975d4c6f-jr69n                             httpbin            10.244.1.10 ambient-worker        None                                TCP
httpbin-7447985f87-t8hv7                             default            10.244.1.40 ambient-worker        None                                TCP
istiod-8c7b98fc4-mwjfp                               istio-system       10.244.2.49 ambient-worker2       None                                TCP
istiod-test-6bdfb786d-s58pj                          istio-system       10.244.1.34 ambient-worker        None                                TCP
local-path-provisioner-6f8956fb48-vvnpn              local-path-storage 10.244.0.4  ambient-control-plane None                                TCP
namespace-istio-waypoint-d94944bf6-z89g2             bookinfo           10.244.2.52 ambient-worker2       None                                TCP
productpage-v1-675fc69cf-jscn2                       bookinfo           10.244.2.53 ambient-worker2       bookinfo-productpage-istio-waypoint HBONE
productpage-v1-675fc69cf-kkrm2                       default            10.244.2.56 ambient-worker2       None                                HBONE
ratings-v1-6484c4d9bb-8xc2r                          default            10.244.2.57 ambient-worker2       None                                HBONE
ratings-v1-6484c4d9bb-mdxm5                          bookinfo           10.244.2.54 ambient-worker2       namespace-istio-waypoint            HBONE
reviews-v1-5b5d6494f4-c7z5w                          default            10.244.1.41 ambient-worker        None                                HBONE
reviews-v1-5b5d6494f4-qwjv4                          bookinfo           10.244.1.37 ambient-worker        namespace-istio-waypoint            HBONE
reviews-v2-5b667bcbf8-q5pn2                          bookinfo           10.244.1.38 ambient-worker        namespace-istio-waypoint            HBONE
reviews-v2-5b667bcbf8-twvx6                          default            10.244.1.42 ambient-worker        None                                HBONE
reviews-v3-5b9bd44f4-7fff4                           bookinfo           10.244.1.39 ambient-worker        namespace-istio-waypoint            HBONE
reviews-v3-5b9bd44f4-z9ms4                           default            10.244.1.43 ambient-worker        None                                HBONE
sleep-7656cf8794-lxcmx                               default            10.244.2.58 ambient-worker2       None                                HBONE
sleep-7656cf8794-qpvbm                               sleep              10.244.1.16 ambient-worker        None                                TCP
ztunnel-n5bg2                                        istio-system       10.244.0.8  ambient-control-plane None                                TCP
ztunnel-qk2pp                                        istio-system       10.244.2.60 ambient-worker2       None                                TCP
ztunnel-xljhg                                        istio-system       10.244.1.44 ambient-worker        None                                TCP
